Wavelength [nm],Lampe Halogene #0,DEL #2,Bulbe Halogen  #3,DEL #2,Fluorescent tourbillon,DEL Chandelier,Fluorescent Philipps,Globe incandescent,
242.907,50.52,117.08,168.45,116.73,25.09,80.72,111.96,42.15,
243.124,58.71,22.87,199.16,88.06,31.23,88.92,91.48,132.26,
243.341,-35.5,45.4,57.86,26.62,4.61,15.19,128.34,9.39,
243.558,62.8,76.12,74.24,126.97,-71.17,86.87,-60.07,31.91,
243.775,-47.79,16.73,33.28,-57.34,-30.21,-19.63,50.52,7.34,
243.992,-25.26,-16.04,45.57,0,-40.45,-42.15,-53.93,-2.9,
244.209,75.09,74.07,178.69,73.73,74.24,109.4,91.48,160.94,
244.426,222.55,172.37,236.03,198.65,154.11,195.41,169.3,111.78,
244.643,64.85,-32.43,168.45,167.93,121.34,52.05,85.33,119.98,
244.86,40.28,63.83,61.95,51.2,76.29,23.38,5.46,15.53,
245.078,42.32,86.36,152.06,129.02,55.81,86.87,42.32,93.35,
245.295,52.56,90.45,127.49,92.16,80.38,101.2,144.72,249,
245.512,87.38,61.78,117.25,100.35,31.23,136.02,81.24,29.87,
245.729,25.94,-5.8,43.52,-28.67,-15.87,39.76,-33.45,7.34,
245.946,81.24,31.06,139.77,165.89,53.76,93.01,68.95,64.68,
246.163,58.71,74.07,113.15,59.39,14.85,95.06,128.34,85.16,
246.38,42.32,37.2,45.57,147.45,-9.73,13.14,34.13,99.5,
246.597,93.52,-7.85,158.21,92.16,109.05,146.26,79.19,74.92,
246.814,66.9,67.92,107.01,122.88,-13.82,62.29,52.56,56.49,
247.031,34.13,76.12,152.06,106.49,49.66,-9.39,66.9,99.5,
247.248,64.85,74.07,90.62,28.67,37.38,113.49,48.47,72.87,
247.464,83.28,69.97,109.05,88.06,104.96,109.4,154.96,38.06,
247.681,116.05,22.87,80.38,86.01,123.39,37.72,118.1,93.35,
247.898,71,100.69,102.91,129.02,37.38,72.53,97.62,79.02,
248.115,83.28,33.11,135.68,53.25,53.76,129.88,101.72,122.02,
