m# CheminTotalEnMicrons	Intensite
-8.356164383561644371e+00	5.999999999174089993e+01
-8.395303326810175548e+00	5.999999999376929338e+01
-8.434442270058706725e+00	5.999999999407991425e+01
-8.473581213307241455e+00	5.999999999170436382e+01
-8.512720156555772633e+00	5.999999999315858901e+01
-8.551859099804303810e+00	5.999999999174998777e+01
-8.590998043052834987e+00	5.999999999170425014e+01
-8.630136986301369717e+00	5.999999999352121449e+01
-8.669275929549900894e+00	5.999999999243920001e+01
-8.708414872798432071e+00	5.999999999183854271e+01
-8.747553816046966801e+00	5.999999999216667135e+01
-8.786692759295497979e+00	5.999999999302321640e+01
-8.825831702544029156e+00	5.999999999210708523e+01
-8.864970645792563886e+00	5.999999999261886785e+01
-8.904109589041095063e+00	5.999999999225536840e+01
-8.943248532289626240e+00	5.999999999288077390e+01
-8.982387475538160970e+00	5.999999999326589517e+01
-9.021526418786692147e+00	5.999999999260986527e+01
-9.060665362035223325e+00	5.999999999298329101e+01
-9.099804305283754502e+00	5.999999999363386394e+01
-9.138943248532289232e+00	5.999999999427590325e+01
-9.178082191780820409e+00	5.999999999376129267e+01
-9.217221135029351586e+00	5.999999999429878983e+01
-9.256360078277886316e+00	5.999999999392539962e+01
-9.295499021526417494e+00	5.999999999276053586e+01
-9.334637964774948671e+00	5.999999999174085019e+01
-9.373776908023483401e+00	5.999999999388925431e+01
-9.412915851272014578e+00	5.999999999340570866e+01
-9.452054794520545755e+00	5.999999999434749043e+01
-9.491193737769080485e+00	5.999999999208020540e+01
-9.530332681017611662e+00	5.999999999181186183e+01
-9.569471624266142840e+00	5.999999999267117090e+01
-9.608610567514677570e+00	5.999999999372519710e+01
-9.647749510763208747e+00	5.999999999214180946e+01
-9.686888454011739924e+00	5.999999999364469971e+01
-9.726027397260274654e+00	5.999999999214747248e+01
-9.765166340508805831e+00	5.999999999415032192e+01
-9.804305283757337008e+00	5.999999999340547419e+01
-9.843444227005868186e+00	5.999999999425966735e+01
-9.882583170254402916e+00	5.999999999193067168e+01
-9.921722113502934093e+00	5.999999999398484363e+01
-9.960861056751465270e+00	5.999999999217815372e+01
-1.000000000000000000e+01	5.999999999328359479e+01
